euctr_id,title,reg_date,other_id,field,provenance
2020-002510-40,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 12-week treatment study followed by a 12 week open label phase and a 12-week follow-up period to assess the efficacy and safety of avdoralimab (IPH5401) C5aR blocking antibody in adult patients with chronic spontaneous urticaria resistant to H1-antihistamine treatment.",2020-10-08,NA,US NCT number,protocol
2020-002510-40,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 12-week treatment study followed by a 12 week open label phase and a 12-week follow-up period to assess the efficacy and safety of avdoralimab (IPH5401) C5aR blocking antibody in adult patients with chronic spontaneous urticaria resistant to H1-antihistamine treatment.",2020-10-08,NA,other,protocol
2020-002510-40,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 12-week treatment study followed by a 12 week open label phase and a 12-week follow-up period to assess the efficacy and safety of avdoralimab (IPH5401) C5aR blocking antibody in adult patients with chronic spontaneous urticaria resistant to H1-antihistamine treatment.",2020-10-08,NA,US NCT number,results
2020-002510-40,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 12-week treatment study followed by a 12 week open label phase and a 12-week follow-up period to assess the efficacy and safety of avdoralimab (IPH5401) C5aR blocking antibody in adult patients with chronic spontaneous urticaria resistant to H1-antihistamine treatment.",2020-10-08,NA,ISRCTN number,results
2020-002282-33,Effect of anticoagulation therapy on clinical outcomes in COVID-19 (COVID-PREVENT),2020-05-29,NA,US NCT number,protocol
2020-002282-33,Effect of anticoagulation therapy on clinical outcomes in COVID-19 (COVID-PREVENT),2020-05-29,NA,other,protocol
2020-002282-33,Effect of anticoagulation therapy on clinical outcomes in COVID-19 (COVID-PREVENT),2020-05-29,NA,US NCT number,results
2020-002282-33,Effect of anticoagulation therapy on clinical outcomes in COVID-19 (COVID-PREVENT),2020-05-29,NA,ISRCTN number,results
2017-004458-41,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 16-week treatment study with a 16 week follow-up period to assess the efficacy and safety of Dupilumab (anti-IL4Ra) in adult patients with chronic spontaneous urticaria despite H1-antihistamine treatment.",2018-07-09,NA,US NCT number,protocol
2017-004458-41,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 16-week treatment study with a 16 week follow-up period to assess the efficacy and safety of Dupilumab (anti-IL4Ra) in adult patients with chronic spontaneous urticaria despite H1-antihistamine treatment.",2018-07-09,NA,other,protocol
2017-004458-41,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 16-week treatment study with a 16 week follow-up period to assess the efficacy and safety of Dupilumab (anti-IL4Ra) in adult patients with chronic spontaneous urticaria despite H1-antihistamine treatment.",2018-07-09,NA,US NCT number,results
2017-004458-41,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 16-week treatment study with a 16 week follow-up period to assess the efficacy and safety of Dupilumab (anti-IL4Ra) in adult patients with chronic spontaneous urticaria despite H1-antihistamine treatment.",2018-07-09,NA,ISRCTN number,results
2017-001604-30,"Safety, Tolerability and Efficacy of anti-IL-6 Antibody Clazakizumab in Late Antibody-Mediated Rejection after Kidney Transplantation - A Pilot Trial",2017-09-29,NA,US NCT number,protocol
2017-001604-30,"Safety, Tolerability and Efficacy of anti-IL-6 Antibody Clazakizumab in Late Antibody-Mediated Rejection after Kidney Transplantation - A Pilot Trial",2017-09-29,NA,other,protocol
2017-001604-30,"Safety, Tolerability and Efficacy of anti-IL-6 Antibody Clazakizumab in Late Antibody-Mediated Rejection after Kidney Transplantation - A Pilot Trial",2017-09-29,NCT03444103,US NCT number,results
2017-001604-30,"Safety, Tolerability and Efficacy of anti-IL-6 Antibody Clazakizumab in Late Antibody-Mediated Rejection after Kidney Transplantation - A Pilot Trial",2017-09-29,NA,ISRCTN number,results
2016-004825-17,A Proof-of-concept study to investigate the Efficacy of Telbivudine Over Placebo in patients with Parvovirus-associated Inflammatory Cardiomyopathy,2017-11-09,NA,US NCT number,protocol
