euctr_id,title,member_state,trial_status,sponsor_name,sponsor_status,sponsor_country,funder,reg_date
2007-001548-36,"Nasale Inhalation von Pulmozyme bei Patienten mit Mukoviszidose und chronischer Rhinosinusitis mit dem Pari Sinus-Vernebler. - bizentrische, randomisierte, doppel-blinde, placebo-kontrollierte, prospektive klinische Studie -",Germany - BfArM,Completed,University of Jena,Non-Commercial,Germany,NA,2009-07-27
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",UK - MHRA,Completed,IPSEN PHARMA S.A.S.,Commercial,France,Ipsen Pharma S.A.S,2006-02-17
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Netherlands - Competent Authority,Completed,"IPSEN Research and Development, BEAUFOUR IPSEN PHARMA",Commercial,France,NA,2006-04-20
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Belgium - FPS Health-DGM,Completed,Ipsen Pharma S.A.S.,Commercial,France,Ipsen Pharma S.A.S.,2006-05-04
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicenter study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Denmark - DHMA,Completed,"IPSEN Research and Development, BEAUFOUR IPSEN PHARMA",Commercial,France,NA,2006-06-29
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Czech Republic - SUKL,Completed,Ipsen Pharma S.A.S,Commercial,France,Ipsen Pharma S.A.S,2006-09-12
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicenter study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Greece - EOF,Completed,"IPSEN Research and Development, BEAUFOUR IPSEN PHARMA",Commercial,France,NA,2006-10-24
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Sweden - MPA,Completed,Ipsen Pharma S.A.S.,Commercial,France,Ipsen Pharma S.A.S.,2006-12-07
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Germany - BfArM,Completed,IPSEN PHARMA S.A.S.,Commercial,France,Ipsen Pharma S.A.S,2007-02-14
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Austria - BASG,Completed,IPSEN PHARMA S.A.S.,,France,NA,2007-03-12
2005-004904-35,"PHASE III, RANDOMISED, DOUBLE BLIND, STRATIFIED COMPARATIVE, PLACEBO CONTROLLED, PARALLEL GROUP, MULTICENTRE STUDY TO ASSESS THE EFFECT OF DEEP SUBCUTANEOUS INJECTIONS OF LANREOTIDE AUTOGEL 120 MG ADMINISTERED EVERY 28 DAYS ON TUMOUR PROGRESSION FREE SURVIVAL IN PATIENTS WITH NON FUNCTIONING ENTERO-PANCREATIC ENDOCRINE TUMOUR",Italy - Italian Medicines Agency,Completed,BEAUFOUR IPSEN PHARMA,Commercial,France,NA,2007-05-03
2005-004904-35,"Phase III, randomised, double-blind, stratified comparative, placebo controlled, parallel group, multicentre study to assess the effect of deep subcutaneous injections of lanreotide Autogel 120 mg administered every 28 days on tumour progression free survival in patients with non functioning entero-pancreatic endocrine tumour.",Slovakia - SIDC (Slovak),Completed,Ipsen Pharma S.A.S,Commercial,France,NA,2008-04-15
2005-004904-35,"Estudio multicéntrico fase III, aleatorizado, doble ciego, estratificado y comparativo, controlado con placebo y de grupos paralelos, para evaluar el efecto de lanreotida Autogel 120 mg, administrado mediante inyección subcutánea profunda cada 28 días, en la supervivencia libre de progresión en pacientes con tumor endocrino entero-pancreático no funcional",Spain - AEMPS,Completed,Ipsen Pharma S.A.S,Commercial,France,NA,2010-03-15
2011-003115-34,A Collagen-Fibrin Patch (Tachosil®) for the Prevention of Symptomatic Lymphoceles after Pelvic Lymphadenectomy in Women with Gynecologic Malignancies: a Randomized Clinical Trial,Austria - BASG,Completed,Medizinische Universität Wien,Non-Commercial,Austria,Nycomed,2012-05-22
2009-012703-25,"A prospective double-blind, randomised concept study of PXL01 versus placebo in flexor tendon surgery.",Sweden - MPA,Completed,Pergamum AB,Commercial,Sweden,Pergamum,2009-09-17
2009-012703-25,"A prospective double-blind, randomised concept study of PXL01 versus placebo in flexor tendon surgery.",Denmark - DHMA,Completed,Pergamum AB,Commercial,Sweden,Pergamum AB,2010-01-11
2009-012703-25,"A prospective double-blind, randomised concept study of PXL01 versus placebo in flexor tendon surgery.",Germany - BfArM,Completed,Pergamum AB,Commercial,Sweden,Pergamum AB,2010-10-19
2006-004865-32,Inoperable Non-Squamous NSCLC Stage III/IV: A Randomised Phase II Study with Bevacizumab plus Erlotinib Or Gemcitabin/Cisplatin plus Bevacizumab,Germany - PEI,Completed,Aktion Bronchialkarzinom e.V.,Non-Commercial,Germany,NA,2007-02-15
2008-005223-28,"A Phase 3, Randomized, Multi-Center, Multi-National, Open-Label, Active Comparator Study to Evaluate the Efficacy and Safety of Genz-112638 in Patients with Gaucher Disease Type 1 who have Reached Therapeutic Goals with Enzyme Replacement Therapy",Netherlands - Competent Authority,Completed,Genzyme Europe B.V.,Commercial,Netherlands,NA,2009-07-01
2008-005223-28,"A Phase 3, Randomized, Multi-Center, Multi-National, Open-Label, Active Comparator Study to Evaluate the Efficacy and Safety of Genz-112638 in Patients with Gaucher Disease Type 1 who have Reached Therapeutic Goals with Enzyme Replacement Therapy",UK - MHRA,Completed,Genzyme Europe B.V.,Commercial,Netherlands,Genzyme Europe B.V.,2009-07-06
2008-005223-28,"A Phase 3, Randomized, Multi-Center, Multi-National, Open-Label, Active Comparator Study to Evaluate the Efficacy and Safety of Genz-112638 in Patients with Gaucher Disease Type 1 who have been Stabilized with Cerezyme",France - ANSM,Completed,Genzyme Europe B.V.,Commercial,Netherlands,NA,2009-08-05
2008-005223-28,"A Phase 3, Randomized, Multi-Center, Multi-National, Open-Label, Active Comparator Study to Evaluate the Efficacy and Safety of Genz-112638 in Patients with Gaucher Disease Type 1 who have reached therapeutic goals with enzyme replacement therapy",Germany - BfArM,Completed,Genzyme Europe B.V.,Commercial,Netherlands,Genzyme Europe B.V.,2009-08-11
2008-005223-28,"A Phase 3, Randomized, Multi-Center, Multi-National, Open-Label, Active Comparator Study to Evaluate the Efficacy and Safety of Genz-112638 in Patients with Gaucher Disease Type 1 who have been Stabilized with Cerezyme",Spain - AEMPS,Completed,Genzyme Europe B.V.,Commercial,Netherlands,NA,2009-08-17
2008-005223-28,"A Phase 3, Randomized, Multi-Center, Multi-National, Open-Label, Active Comparator Study to Evaluate the Efficacy and Safety of Genz-112638 in Patients with Gaucher Disease Type 1 who have Reached Therapeutic goals with Enzyme Replacement Therapy",Czech Republic - SUKL,Completed,Genzyme Europe B.V.,Commercial,Netherlands,NA,2009-08-21
2008-005223-28,"A Phase 3, Randomized, Multi-Center, Multi-National, Open-Label, Active Comparator Study to Evaluate the Efficacy and Safety of Genz-112638 in Patients with Gaucher Disease Type 1 who have been Stabilized with Cerezyme",Italy - Italian Medicines Agency,Completed,Genzyme Europe BV,Commercial,Netherlands,NA,2009-12-03
2010-022798-32,"DOUBLE-BLIND, RANDOMISED, PLACEBO AND ACTIVE CONTROLLED, PARALLEL GROUP STUDY TO EVALUATE THE ANALGESIC EFFECT OF A SINGLE ORAL ADMINISTRATION OF FOUR DIFFERENT COMBINATION DOSES OF DKP.TRIS WITH TRAM.HCl IN COMPARISON WITH THE SINGLE AGENTS, ON MODERATE TO SEVERE PAIN FOLLOWING IMPACTED THIRD MANDIBULAR MOLAR TOOTH EXTRACTION",UK - MHRA,Completed,Menarini Ricerche S.p.A.,Commercial,Italy,Menarini Ricerche S.p.A.,2010-10-29
2010-022798-32,"DOUBLE-BLIND, RANDOMISED, PLACEBO AND ACTIVE CONTROLLED, PARALLEL GROUP STUDY TO EVALUATE THE ANALGESIC EFFECT OF A SINGLE ORAL ADMINISTRATION OF FOUR DIFFERENT COMBINATION DOSES OF DKP.TRIS WITH TRAM.HCl IN COMPARISON WITH THE SINGLE AGENTS, ON MODERATE TO SEVERE PAIN FOLLOWING IMPACTED THIRD MANDIBULAR MOLAR TOOTH EXTRACTION",Germany - BfArM,Completed,Menarini Ricerche S.p.A.,Commercial,Italy,Menarini Ricerche S.p.A.,2010-11-23
2010-022798-32,"""Estudio doble ciego, aleatorizado, controlado con placebo y con comparador activo, de grupos paralelos, para evaluar el efecto analgésico de una única administración oral de cuatro diferentes combinaciones de dosis de DKP.TRIS con TRAM.HCl, en comparación con los mismos fármacos en monoterapia, sobre el dolor moderado a intenso tras la extracción del tercer molar inferior impactado""",Spain - AEMPS,Completed,Menarini Ricerche S.p.A.,Commercial,Italy,NA,2010-11-25
2010-022798-32,"DOUBLE-BLIND, RANDOMISED, PLACEBO AND ACTIVE CONTROLLED, PARALLEL GROUP STUDY TO EVALUATE THE ANALGESIC EFFECT OF A SINGLE ORAL ADMINISTRATION OF FOUR DIFFERENT COMBINATION DOSES OF DKP.TRIS WITH TRAM.HCl IN COMPARISON WITH THE SINGLE AGENTS, ON MODERATE TO SEVERE PAIN FOLLOWING IMPACTED THIRD MANDIBULAR MOLAR TOOTH EXTRACTION",Hungary - National Institute of Pharmacy,Completed,Menarini Ricerche S.p.A.,Commercial,Italy,NA,2010-11-29
2010-022798-32,"Double-blind, randomised, placebo and active controlled, parallel group study to evaluate the analgesic effect of a single oral administration of four different combination doses of DKP.TRIS with TRAM.HCl in comparison with the single agents, on moderate to severe pain following impacted third mandibular molar tooth extraction",Italy - Italian Medicines Agency,Completed,MENARINI RICERCHE S.P.A.,Commercial,Italy,NA,2010-12-22
2010-022798-32,"DOUBLE-BLIND, RANDOMISED, PLACEBO AND ACTIVE CONTROLLED, PARALLEL GROUP STUDY TO EVALUATE THE ANALGESIC EFFECT OF A SINGLE ORAL ADMINISTRATION OF FOUR DIFFERENT COMBINATION DOSES OF DKP.TRIS WITH TRAM.HCl IN COMPARISON WITH THE SINGLE AGENTS, ON MODERATE TO SEVERE PAIN FOLLOWING IMPACTED THIRD MANDIBULAR MOLAR TOOTH EXTRACTION",Poland - Office for Medicinal Products,Completed,Menarini Ricerche S.p.A.,Commercial,Italy,Menarini Ricerche S.p.A.,2011-05-10
2011-002901-31,"A multicentre, double-blind, randomised, placebo controlled study to determine the efficacy and tolerability of OXN PR for the treatment of severe Parkinson's disease associated pain",UK - MHRA,Completed,Mundipharma Research GmbH & Co. KG,Commercial,Germany,Mundipharma Research GmbH & Co. KG,2011-09-21
2011-002901-31,"A multicentre, double-blind, randomised, placebo controlled study to determine the efficacy and tolerability of OXN PR for the treatment of severe Parkinson's disease associated pain",Spain - AEMPS,Completed,Mundipharma Research GmbH & Co. KG,Commercial,Germany,Mundipharma Research GmbH & Co. KG,2011-10-05
2011-002901-31,"A multicentre, double-blind, randomised, placebo controlled study to determine the efficacy and tolerability of OXN PR for the treatment of severe Parkinson’s disease associated pain",Germany - BfArM,Completed,Mundipharma Research GmbH & Co. KG,Commercial,Germany,Mundipharma Research GmbH & Co. KG,2011-10-06
2011-002901-31,"A multicentre, double-blind, randomised, placebo controlled study to determine the efficacy and tolerability of OXN PR for the treatment of severe Parkinson’s disease associated pain",Czech Republic - SUKL,Completed,Mundipharma Research GmbH & Co. KG,Commercial,Germany,Mundipharma Research GmbH & Co. KG,2011-10-10
2011-002901-31,"A multicentre, double-blind, randomised, placebo controlled study to determine the efficacy and tolerability of OXN PR for the treatment of severe Parkinson’s disease associated pain",Hungary - National Institute of Pharmacy,Completed,Mundipharma Research GmbH & Co. KG,Commercial,Germany,Mundipharma Research GmbH & Co. KG,2011-10-13
2008-004968-40,"A double-blind, placebo-controlled, randomized, multi-center phase II trial to assess the efficacy of Sorafenib added to standard primary therapy in patients with newly diagnosed AML ≤ 60 years of age",Germany - BfArM,Completed,Technische Universität Dresden,Non-Commercial,Germany,Dresden University of Technology,2008-11-13
