euctr_id,other_id,field,provenance
2007-001548-36,NA,US NCT number,protocol
2007-001548-36,NA,other,protocol
2007-001548-36,NA,US NCT number,results
2007-001548-36,NA,ISRCTN number,results
2005-004904-35,NA,US NCT number,protocol
2005-004904-35,NA,other,protocol
2005-004904-35,NA,US NCT number,results
2005-004904-35,NA,ISRCTN number,results
2011-003115-34,NA,US NCT number,protocol
2011-003115-34,NA,other,protocol
2011-003115-34,NCT01470677,US NCT number,results
2011-003115-34,NA,ISRCTN number,results
2009-012703-25,NA,US NCT number,protocol
2009-012703-25,NA,other,protocol
2009-012703-25,NA,US NCT number,results
2009-012703-25,NA,ISRCTN number,results
2006-004865-32,NA,US NCT number,protocol
2006-004865-32,NA,other,protocol
2006-004865-32,NA,US NCT number,results
2006-004865-32,NA,ISRCTN number,results
2008-005223-28,NCT00943111,US NCT number,protocol
2008-005223-28,NA,other,protocol
2008-005223-28,NCT00943111,US NCT number,results
2008-005223-28,NA,ISRCTN number,results
2010-022798-32,NA,US NCT number,protocol
2010-022798-32,NA,other,protocol
2010-022798-32,NCT01307020,US NCT number,results
2010-022798-32,NA,ISRCTN number,results
2011-002901-31,NCT01439100,US NCT number,protocol
2011-002901-31,NA,other,protocol
2011-002901-31,NCT01439100,US NCT number,results
2011-002901-31,NA,ISRCTN number,results
2008-004968-40,NA,US NCT number,protocol
2008-004968-40,NA,other,protocol
2008-004968-40,NCT00893373,US NCT number,results
2008-004968-40,NA,ISRCTN number,results
2005-005362-36,NA,US NCT number,protocol
2005-005362-36,NA,other,protocol
2005-005362-36,NA,US NCT number,results
2005-005362-36,NA,ISRCTN number,results
2012-004555-36,NA,US NCT number,protocol
2012-004555-36,NA,other,protocol
2012-004555-36,NA,US NCT number,results
2012-004555-36,NA,ISRCTN number,results
2010-021414-32,NCT01208233,US NCT number,protocol
2010-021414-32,NA,other,protocol
2010-021414-32,NCT01208233,US NCT number,results
2010-021414-32,NA,ISRCTN number,results
2012-000108-13,NA,US NCT number,protocol
2012-000108-13,NA,other,protocol
2012-000108-13,NA,US NCT number,results
2012-000108-13,NA,ISRCTN number,results
2012-000108-13,NA,US NCT number,protocol
2012-000108-13,NA,other,protocol
2012-000108-13,NA,US NCT number,results
2012-000108-13,NA,ISRCTN number,results
2006-002061-39,NCT00479557,US NCT number,protocol
2006-002061-39,NA,other,protocol
2006-002061-39,NA,US NCT number,results
2006-002061-39,NA,ISRCTN number,results
2007-005994-79,NCT00667810,US NCT number,protocol
2007-005994-79,NA,other,protocol
2007-005994-79,NCT00667810,US NCT number,results
