euctr_id,title,member_state,trial_status,sponsor_name,sponsor_status,sponsor_country,funder,reg_date,row
2020-002510-40,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 12-week treatment study followed by a 12 week open label phase and a 12-week follow-up period to assess the efficacy and safety of avdoralimab (IPH5401) C5aR blocking antibody in adult patients with chronic spontaneous urticaria resistant to H1-antihistamine treatment.",Germany - PEI,Prematurely Ended,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Innate Pharma,2020-10-08,1
2020-002282-33,Effect of anticoagulation therapy on clinical outcomes in COVID-19 (COVID-PREVENT),Germany - BfArM,Prematurely Ended,Charité - Universitaetsmedizin Berlin,Non-Commercial,Germany,Bayer AG,2020-05-29,1
2017-004458-41,"A multicenter, randomized, double-blind, placebo-controlled, phase 2, 16-week treatment study with a 16 week follow-up period to assess the efficacy and safety of Dupilumab (anti-IL4Ra) in adult patients with chronic spontaneous urticaria despite H1-antihistamine treatment.",Germany - PEI,Completed,Charité - Universitätsmedizin Berlin Klinik für Dermatologie und Allergologie,Non-Commercial,Germany,Sanofi-Aventis Deutschland GmbH,2018-07-09,1
2017-001604-30,"Safety, Tolerability and Efficacy of anti-IL-6 Antibody Clazakizumab in Late Antibody-Mediated Rejection after Kidney Transplantation - A Pilot Trial",Austria - BASG,Completed,Medical University of Vienna,Non-Commercial,Austria,Medical University of Vienna,2017-09-29,1
2017-001604-30,"Safety, Tolerability and Efficacy of anti-IL-6 Antibody Clazakizumab in Late Antibody-Mediated Rejection after Kidney Transplantation - A Pilot Trial",Germany - PEI,Completed,Charité Berlin,Non-Commercial,Germany,Charité Berlin,2018-02-06,2
2016-004825-17,A Proof-of-concept study to investigate the Efficacy of Telbivudine Over Placebo in patients with Parvovirus-associated Inflammatory Cardiomyopathy,Germany - BfArM,Prematurely Ended,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,BMBF,2017-11-09,1
2016-003828-23,A pilot open-label study to assess the efficacy and safety of tocilizumab (TCZ) in patients with active Schnitzler’s syndrome (SchS) ,Germany - PEI,Completed,Charité - Universitätsmedizin Berlin; Dpt. of Dermatology and Allergy,Non-Commercial,Germany,ROCHE/CHUGAI Pharma AG,2017-01-31,1
2016-002370-12,PROOF OF CONCEPT STUDY OF HYQVIA IN PATIENTS WITH IMMUNOGLOBULIN DEFICIENCY AND RECURRENT INFECTIONS WITH CHRONIC FATIGUE SYNDROME,Germany - PEI,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Baxalta GmbH,2016-07-21,1
2016-001777-33,EVALUATION OF CEREBRAL THROMBOEMBOLISM AFTER TAVR,Germany - BfArM,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Charité Universitätsmedizin Berlin,2016-06-06,1
2016-000615-33,Comparison of the effect of treatment with NSAIDs added to anti-TNF therapy versus anti-TNF therapy alone on progression of structural damage in the spine over two years in patients with ankylosing spondylitis: a randomized controlled multicentre trial (CONSUL),Germany - PEI,Completed,Charite Universitaetsmedizin,Non-Commercial,Germany,Federal Ministry of Education and Research,2016-07-06,1
2015-005346-58,Tacrolimus after rATG and infliximab induction immunosuppression (RIMINI),Germany - PEI,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Biodrim Consortium,2016-08-05,1
2015-005346-58,Tacrolimus after rATG and infliximab induction immunosuppression (RIMINI),Czech Republic - SUKL,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Biodrim Consortium,2016-08-18,2
2015-005346-58,Tacrolimus after rATG and infliximab induction immunosuppression,Spain - AEMPS,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Biodrim Consortium,2017-02-28,3
2015-001456-29,"A Double-blind, Placebo-controlled, Randomized, Multicenter Proof-of-principle Trial of Adjunctive Minocycline for Patients With Treatment Resistant Unipolar Major Depressive Disorder (MDD)",Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Bundeministerium für Bildung und Forschung (BMBF),2015-07-08,1
2015-000538-31,NEUORIMPA - Intraarticular Application of Opioids in Chronic Arthritis of the knee joint,Germany - BfArM,Completed,Charité University medicine Berlin,Non-Commercial,Germany,Bundesministerium für Bildung und Forschung,2015-04-07,1
2015-000465-31,"Cannabidiol in Bipolar Depression – CannaBiD-Study: An 8-week randomized, double-blind, placebo-controlled clinical trial of Cannabidiol as add-on therapy in bipolar depression",Germany - BfArM,Prematurely Ended,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2016-03-30,1
2014-005344-17,"Oral cannabidivarin (CBDV) solution for treatment of HIV-associated neuropathic pain – a randomized, double-blind, placebo-controlled phase II study.",Germany - BfArM,Completed,"Department of Anesthesiology and Operative Intensive Care Medicine, Charité (CBF)",Non-Commercial,Germany,EU-commission,2015-01-02,1
2014-005239-15,Effects of mineralocorticoid receptor stimulation on cognitive bias and social cognition in patients with major depression and healthy controls: what’s the role of NMDA receptors?,Germany - BfArM,Completed,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Charité - Universitätsmedizin Berlin,2016-02-03,1
2014-004551-32,Daclatasvir plus Sofosbuvir for chronic HCV-infected renal transplant patients – a pilot study of efficacy and safety,Germany - BfArM,Completed,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,Bristol-Myers-Squibb,2015-08-28,1
2014-002392-28,Setmelanotide (RM-493) Treatment Trial in Patients with rare genetic disorders of obesity,Germany - BfArM,Completed,Charité Univeritaetsmedizin Berlin,Non-Commercial,Germany,"Funds of the Institute of Experimental Pediatric Endocrinology, Charité Universitaetsmedizin Berlin",2014-08-04,1
2014-001551-22,Reduction of postoperative wound infections by antiseptica,Germany - BfArM,Completed,Charité Universitätsmedizin,Non-Commercial,Germany,Charité Universitätsmedizin,2014-06-18,1
2014-000181-21,"Disease activity controlled dose escalating study to assess the efficacy, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in chronic spontaneous urticaria.",Germany - BfArM,Completed,Charite - Universitätsmedizin Berlin,Non-Commercial,Germany,FAES FARMA,2014-04-23,1
2013-005362-19,Therapy of antibody-mediated autoimmune diseases by Bortezomib (TAVAB),Germany - BfArM,Prematurely Ended,Charité - Universitätsmedizin Berlin,Non-Commercial,Germany,Deutsche Forschungsgemeinschaft,2013-12-18,1
2013-004130-15,"Investigator-initiated clinical research trial on the effects of 5% Minoxidil topical foam on gene expression, hair growth and scalp microenvironment in men with androgenetic alopecia",Germany - BfArM,Completed,"Charité-Universitätsmedizin Berlin, Department of Dermatology, Clinical Research Center for Hair and Skin Science",Non-Commercial,Germany,Clinical Research Center for Skin and Hair Science (CRC),2014-03-05,1
2013-003601-25,"A multicenter, Double-blind, RandOmised, two arm Parallel group trial to determine the effects of torasemide versus furosemide on one marker (PIP) of cardiac fibrosis in patient with Diastolic Heart Failure and diabetes mellitus type II",Germany - BfArM,Prematurely Ended,Charité Universitätsmedizin Berlin,Non-Commercial,Germany,EU Project FP7,2013-11-12,1
2013-002409-75,"Intra-individual, comparison of the MRI contrast agents gadoxetic acid (Primovist®) versus gadoterate meglumine (Dotarem®) in liver MRI of patients with HCC and underlying cirrhosis",Germany - BfArM,Completed,Charite,Non-Commercial,Germany,Bayer AG,2013-08-23,1
2013-000823-15,Neuroprotection with Dexmedetomidine in patients undergoing elective cardiac or abdominal surgery,Germany - BfArM,Completed,Charité – Universitätsmedizin Berlin,Non-Commercial,Germany,Charité – Universitaetsmedizin Berlin,2013-11-19,1
